Grievance Title,Brief Summary,Category,Department,Detailed Description,Location / Ward No,Priority Level,Attachment Name,Internal Notes,Date Submitted,Status
"Waste Management Issue at Ward 2, Central Zone - 462","Complaint regarding waste management in Ward 2, Central Zone.",Waste Management,Municipal Corporation,"Garbage collection truck hasn't visited Ward 2, Central Zone for a week.","Ward 2, Central Zone",Low,evidence_624.jpg,Assigned to Municipal Corporation team.,2025-10-23,In Progress
"Water Supply Issue at Sector 14, Heritage Colony - 710","Complaint regarding water supply in Sector 14, Heritage Colony.",Water Supply,Municipal Corporation,"Contaminated water with foul smell reported at Sector 14, Heritage Colony.","Sector 14, Heritage Colony",Low,None,Assigned to Municipal Corporation team.,2025-08-23,New
"Sanitation Issue at Sector 15, Heritage Colony - 167","Complaint regarding sanitation in Sector 15, Heritage Colony.",Sanitation,Municipal Corporation,"Sewage overflow reported in the back alley of Sector 15, Heritage Colony.","Sector 15, Heritage Colony",Urgent,None,Assigned to Municipal Corporation team.,2026-02-06,Resolved
"Street Lighting Issue at Ward 2, Central Zone - 892","Complaint regarding street lighting in Ward 2, Central Zone.",Street Lighting,Municipal Corporation,"Street lights not working for 41 nights in Ward 2, Central Zone.","Ward 2, Central Zone",Medium,None,Assigned to Municipal Corporation team.,2025-11-22,Resolved
"Roads & Infrastructure Issue at Garden City, Phase 1 - 922","Complaint regarding roads & infrastructure in Garden City, Phase 1.",Roads & Infrastructure,Urban Development Authority,"Street pavement broken near Garden City, Phase 1.","Garden City, Phase 1",Medium,evidence_628.jpg,Assigned to Urban Development Authority team.,2026-02-18,New
"Public Safety Issue at Ward 6, Central Zone - 690","Complaint regarding public safety in Ward 6, Central Zone.",Public Safety,Police Department,"Stray animal menace in the parks of Ward 6, Central Zone.","Ward 6, Central Zone",Low,None,Assigned to Police Department team.,2025-05-07,New
"Education Issue at Sector 11, Heritage Colony - 185","Complaint regarding education in Sector 11, Heritage Colony.",Education,Urban Development Authority,"Lack of pure drinking water facilities in Sector 11, Heritage Colony primary school.","Sector 11, Heritage Colony",Low,None,Assigned to Urban Development Authority team.,2025-09-14,New
"Water Supply Issue at Ward 9, Central Zone - 370","Complaint regarding water supply in Ward 9, Central Zone.",Water Supply,Municipal Corporation,"Low pressure water being received at Ward 9, Central Zone.","Ward 9, Central Zone",Medium,None,Assigned to Municipal Corporation team.,2025-10-19,Escalated
"Water Supply Issue at Sector 11, Heritage Colony - 838","Complaint regarding water supply in Sector 11, Heritage Colony.",Water Supply,Public Works Department (PWD),"Continuous leakage in the main pipeline near Sector 11, Heritage Colony.","Sector 11, Heritage Colony",Low,evidence_632.jpg,Assigned to Public Works Department (PWD) team.,2026-02-11,Escalated
"Drainage Issue at Ward 1, Central Zone - 825","Complaint regarding drainage in Ward 1, Central Zone.",Drainage,Municipal Corporation,"Stinking smell from the open drain in Ward 1, Central Zone.","Ward 1, Central Zone",Low,None,Assigned to Municipal Corporation team.,2025-05-29,Resolved
"Waste Management Issue at Sector 19, Heritage Colony - 776","Complaint regarding waste management in Sector 19, Heritage Colony.",Waste Management,Sanitation Department,"Garbage collection truck hasn't visited Sector 19, Heritage Colony for a week.","Sector 19, Heritage Colony",Urgent,evidence_634.jpg,Assigned to Sanitation Department team.,2025-03-25,New
"Roads & Infrastructure Issue at Garden City, Phase 2 - 781","Complaint regarding roads & infrastructure in Garden City, Phase 2.",Roads & Infrastructure,Public Works Department (PWD),"Street pavement broken near Garden City, Phase 2.","Garden City, Phase 2",Low,None,Assigned to Public Works Department (PWD) team.,2025-05-20,In Progress
"Water Supply Issue at Sector 19, Heritage Colony - 542","Complaint regarding water supply in Sector 19, Heritage Colony.",Water Supply,Public Works Department (PWD),"Low pressure water being received at Sector 19, Heritage Colony.","Sector 19, Heritage Colony",Urgent,None,Assigned to Public Works Department (PWD) team.,2025-05-27,In Progress
"Healthcare Issue at Sector 19, Heritage Colony - 396","Complaint regarding healthcare in Sector 19, Heritage Colony.",Healthcare,Municipal Corporation,"Emergency ambulance delayed by 8 hours for Sector 19, Heritage Colony.","Sector 19, Heritage Colony",Urgent,None,Assigned to Municipal Corporation team.,2025-07-12,Escalated
"Drainage Issue at Sector 10, Heritage Colony - 818","Complaint regarding drainage in Sector 10, Heritage Colony.",Drainage,Public Works Department (PWD),"Drain cover missing, posing a risk to children in Sector 10, Heritage Colony.","Sector 10, Heritage Colony",Urgent,None,Assigned to Public Works Department (PWD) team.,2026-01-13,In Progress
"Roads & Infrastructure Issue at Sector 13, Heritage Colony - 789","Complaint regarding roads & infrastructure in Sector 13, Heritage Colony.",Roads & Infrastructure,Public Works Department (PWD),"Street pavement broken near Sector 13, Heritage Colony.","Sector 13, Heritage Colony",Low,None,Assigned to Public Works Department (PWD) team.,2025-08-26,New
"Electricity Issue at Ward 9, Central Zone - 158","Complaint regarding electricity in Ward 9, Central Zone.",Electricity,Urban Development Authority,"Frequent power cuts without notice in Ward 9, Central Zone.","Ward 9, Central Zone",Low,None,Assigned to Urban Development Authority team.,2025-06-17,Resolved
"Waste Management Issue at Ward 9, Central Zone - 828","Complaint regarding waste management in Ward 9, Central Zone.",Waste Management,Sanitation Department,"Biomedical waste found dumped in the residential area of Ward 9, Central Zone.","Ward 9, Central Zone",Low,evidence_641.jpg,Assigned to Sanitation Department team.,2025-05-14,In Progress
"Education Issue at Sector 18, Heritage Colony - 199","Complaint regarding education in Sector 18, Heritage Colony.",Education,Urban Development Authority,"Illegal encroachments near the playground of Sector 18, Heritage Colony school.","Sector 18, Heritage Colony",Low,None,Assigned to Urban Development Authority team.,2025-08-18,Escalated
"Sanitation Issue at Sector 17, Heritage Colony - 544","Complaint regarding sanitation in Sector 17, Heritage Colony.",Sanitation,Municipal Corporation,"Sewage overflow reported in the back alley of Sector 17, Heritage Colony.","Sector 17, Heritage Colony",Urgent,evidence_643.jpg,Assigned to Municipal Corporation team.,2026-03-01,In Progress
"Sanitation Issue at Garden City, Phase 1 - 221","Complaint regarding sanitation in Garden City, Phase 1.",Sanitation,Municipal Corporation,"Public toilets in Garden City, Phase 1 are extremely dirty and unusable.","Garden City, Phase 1",Urgent,None,Assigned to Municipal Corporation team.,2025-11-13,In Progress
"Public Safety Issue at Sector 18, Heritage Colony - 679","Complaint regarding public safety in Sector 18, Heritage Colony.",Public Safety,Police Department,"Illegal parking blocking emergency exits in Sector 18, Heritage Colony.","Sector 18, Heritage Colony",Medium,None,Assigned to Police Department team.,2025-09-10,Resolved
"Drainage Issue at Garden City, Phase 1 - 626","Complaint regarding drainage in Garden City, Phase 1.",Drainage,Public Works Department (PWD),"Monsoon preparation for cleaning drains not started in Garden City, Phase 1.","Garden City, Phase 1",High,None,Assigned to Public Works Department (PWD) team.,2025-03-30,New
"Waste Management Issue at Sector 18, Heritage Colony - 968","Complaint regarding waste management in Sector 18, Heritage Colony.",Waste Management,Municipal Corporation,"Garbage collection truck hasn't visited Sector 18, Heritage Colony for a week.","Sector 18, Heritage Colony",Urgent,None,Assigned to Municipal Corporation team.,2025-04-05,Escalated
"Healthcare Issue at Sector 13, Heritage Colony - 695","Complaint regarding healthcare in Sector 13, Heritage Colony.",Healthcare,Municipal Corporation,"Government clinic in Sector 13, Heritage Colony lacks basic medicines.","Sector 13, Heritage Colony",Urgent,evidence_648.jpg,Assigned to Municipal Corporation team.,2025-07-05,Resolved
"Electricity Issue at Ward 7, Central Zone - 181","Complaint regarding electricity in Ward 7, Central Zone.",Electricity,Urban Development Authority,"Street pole spark observed near Ward 7, Central Zone.","Ward 7, Central Zone",Medium,None,Assigned to Urban Development Authority team.,2025-06-10,New
"Drainage Issue at Sector 15, Heritage Colony - 317","Complaint regarding drainage in Sector 15, Heritage Colony.",Drainage,Municipal Corporation,"Drain cover missing, posing a risk to children in Sector 15, Heritage Colony.","Sector 15, Heritage Colony",Low,None,Assigned to Municipal Corporation team.,2025-12-26,Resolved
"Sanitation Issue at Ward 7, Central Zone - 481","Complaint regarding sanitation in Ward 7, Central Zone.",Sanitation,Municipal Corporation,"Public toilets in Ward 7, Central Zone are extremely dirty and unusable.","Ward 7, Central Zone",High,None,Assigned to Municipal Corporation team.,2025-05-16,In Progress
"Drainage Issue at Sector 19, Heritage Colony - 106","Complaint regarding drainage in Sector 19, Heritage Colony.",Drainage,Public Works Department (PWD),"Drain cover missing, posing a risk to children in Sector 19, Heritage Colony.","Sector 19, Heritage Colony",Medium,evidence_652.jpg,Assigned to Public Works Department (PWD) team.,2025-10-01,New
"Electricity Issue at Ward 6, Central Zone - 442","Complaint regarding electricity in Ward 6, Central Zone.",Electricity,Electricity Board,"High voltage fluctuations causing damage to appliances in Ward 6, Central Zone.","Ward 6, Central Zone",Low,None,Assigned to Electricity Board team.,2025-03-17,Resolved
"Public Safety Issue at Garden City, Phase 2 - 736","Complaint regarding public safety in Garden City, Phase 2.",Public Safety,Police Department,"Lack of police patrolling observed during night in Garden City, Phase 2.","Garden City, Phase 2",Medium,None,Assigned to Police Department team.,2025-05-22,Resolved
"Roads & Infrastructure Issue at Ward 8, Central Zone - 550","Complaint regarding roads & infrastructure in Ward 8, Central Zone.",Roads & Infrastructure,Public Works Department (PWD),"Major potholes on the main road of Ward 8, Central Zone.","Ward 8, Central Zone",Urgent,None,Assigned to Public Works Department (PWD) team.,2025-08-04,Resolved
"Waste Management Issue at Sector 17, Heritage Colony - 516","Complaint regarding waste management in Sector 17, Heritage Colony.",Waste Management,Municipal Corporation,"Open garbage bin overflowing and spreading disease in Sector 17, Heritage Colony.","Sector 17, Heritage Colony",Medium,None,Assigned to Municipal Corporation team.,2025-08-25,In Progress
"Waste Management Issue at Sector 10, Heritage Colony - 722","Complaint regarding waste management in Sector 10, Heritage Colony.",Waste Management,Municipal Corporation,"Garbage collection truck hasn't visited Sector 10, Heritage Colony for a week.","Sector 10, Heritage Colony",Medium,None,Assigned to Municipal Corporation team.,2025-08-22,Escalated
"Waste Management Issue at Garden City, Phase 5 - 715","Complaint regarding waste management in Garden City, Phase 5.",Waste Management,Municipal Corporation,"Open garbage bin overflowing and spreading disease in Garden City, Phase 5.","Garden City, Phase 5",Medium,evidence_658.jpg,Assigned to Municipal Corporation team.,2025-04-13,New
"Healthcare Issue at Sector 18, Heritage Colony - 441","Complaint regarding healthcare in Sector 18, Heritage Colony.",Healthcare,Municipal Corporation,"Emergency ambulance delayed by 45 hours for Sector 18, Heritage Colony.","Sector 18, Heritage Colony",High,None,Assigned to Municipal Corporation team.,2025-12-20,In Progress
"Healthcare Issue at Garden City, Phase 3 - 427","Complaint regarding healthcare in Garden City, Phase 3.",Healthcare,Health & Family Welfare,"Government clinic in Garden City, Phase 3 lacks basic medicines.","Garden City, Phase 3",Urgent,evidence_660.jpg,Assigned to Health & Family Welfare team.,2025-03-23,Escalated
"Water Supply Issue at Garden City, Phase 5 - 675","Complaint regarding water supply in Garden City, Phase 5.",Water Supply,Municipal Corporation,"Continuous leakage in the main pipeline near Garden City, Phase 5.","Garden City, Phase 5",Medium,evidence_661.jpg,Assigned to Municipal Corporation team.,2025-12-03,New
"Drainage Issue at Ward 2, Central Zone - 106","Complaint regarding drainage in Ward 2, Central Zone.",Drainage,Public Works Department (PWD),"Monsoon preparation for cleaning drains not started in Ward 2, Central Zone.","Ward 2, Central Zone",High,None,Assigned to Public Works Department (PWD) team.,2025-08-18,Resolved
"Roads & Infrastructure Issue at Sector 17, Heritage Colony - 505","Complaint regarding roads & infrastructure in Sector 17, Heritage Colony.",Roads & Infrastructure,Public Works Department (PWD),"Major potholes on the main road of Sector 17, Heritage Colony.","Sector 17, Heritage Colony",Urgent,None,Assigned to Public Works Department (PWD) team.,2025-08-14,Resolved
